iter	RMSE
0	1.231156227
1	1.187074359
2	1.146600873
3	1.108004963
4	1.072191234
5	1.038248111
6	1.007024829
7	0.9782239056
8	0.9502155513
9	0.9247147232
10	0.9002516463
11	0.8780997859
12	0.8571900016
13	0.8373178351
14	0.8190539417
15	0.8017567945
16	0.7857884744
17	0.7711955912
18	0.7576482975
19	0.7448873753
20	0.7325653464
21	0.7219774032
22	0.7116371509
23	0.7022141115
24	0.6932872466
25	0.684916862
26	0.6774818365
27	0.6699929409
28	0.6633283439
29	0.6569639638
30	0.6515288408
31	0.6461763718
32	0.6409474538
33	0.6362074969
34	0.6321562236
35	0.6281973249
36	0.6247165642
37	0.6210475087
38	0.6177886325
39	0.6146253795
40	0.6120371045
41	0.6093498099
42	0.6069042036
43	0.6048091834
44	0.6026835088
45	0.6005338603
46	0.5983905635
47	0.5964571058
48	0.5946151459
49	0.5930048198
50	0.5913711249
51	0.5895325429
52	0.5883525262
53	0.5871114084
54	0.5860313943
55	0.5848402873
56	0.5834539638
57	0.5824568357
58	0.5813240654
59	0.5805359778
60	0.5795145887
61	0.5786957005
62	0.5779889345
63	0.5770425567
64	0.576212172
65	0.5755990612
66	0.5749346365
67	0.5741235345
68	0.573171593
69	0.5723355026
70	0.5716594204
71	0.5710046
72	0.5704961778
73	0.5697866495
74	0.5691728707
75	0.5686038703
76	0.5680036523
77	0.5676056934
78	0.567197184
79	0.566750595
80	0.5661977186
81	0.5658127556
82	0.5653108046
83	0.5647356216
84	0.5644590714
85	0.5639691843
86	0.5636308871
87	0.5632431887
88	0.5627672473
89	0.5622899767
90	0.5620079479
91	0.5614564959
92	0.5608746947
93	0.5605394287
94	0.5602271422
95	0.5599271586
96	0.5596288737
97	0.5592178682
98	0.5587938402
99	0.5584293815
100	0.5581217389
101	0.557638058
102	0.557294967
103	0.5568560395
104	0.5565559863
105	0.5562949054
106	0.5560196
107	0.5555971238
108	0.5552336017
109	0.5550840627
110	0.5546420265
111	0.5542543422
112	0.5539484262
113	0.553559617
114	0.5532547273
115	0.552840753
116	0.5525074198
117	0.5521912037
118	0.551700717
119	0.5513636636
120	0.5509545303
121	0.5505803147
122	0.550140217
123	0.5498536537
124	0.5495632017
125	0.5492540718
126	0.548883438
127	0.5484668413
128	0.5481256907
129	0.5479348796
130	0.5476772551
131	0.5473165877
132	0.5470244739
133	0.5468373544
134	0.5464793284
135	0.5461808372
136	0.5458969072
137	0.5456434206
138	0.5452646203
139	0.5449913366
140	0.5447641755
141	0.5445185121
142	0.5442056079
143	0.5439217625
144	0.5436978668
145	0.5433861368
146	0.543137264
147	0.5429409854
148	0.5428439457
149	0.5424922182
150	0.5421944704
151	0.5418286795
152	0.5415368469
153	0.5412959484
154	0.5410153461
155	0.5408205792
156	0.5405330732
157	0.5403646519
158	0.5400960833
159	0.5398521854
160	0.5395507525
161	0.5393188684
162	0.5392046509
163	0.5388923219
164	0.5386863812
165	0.5384564637
166	0.5383016158
167	0.5379640647
168	0.5376844678
169	0.5373738565
170	0.5371804599
171	0.5370690307
172	0.5365508221
173	0.5363521286
174	0.5361480266
175	0.535921152
176	0.5357626909
177	0.5356616217
178	0.5354726992
179	0.5352412946
180	0.5349559022
181	0.5347055649
182	0.534497599
183	0.5342504045
184	0.5340705428
185	0.5338490542
186	0.5334965697
187	0.5332757062
188	0.5330690963
189	0.5327430555
190	0.5325245386
191	0.5323466389
192	0.5320876008
193	0.5318722131
194	0.5317268871
195	0.5314763266
196	0.5312744796
197	0.5310589814
198	0.530812664
199	0.5305536979
200	0.5301968509
201	0.5299946506
202	0.5296733205
203	0.5295810758
204	0.5293715313
205	0.5292502297
206	0.5290815427
207	0.5288826843
208	0.5285714332
209	0.5283822963
210	0.5282489745
211	0.5280588627
212	0.5277619745
213	0.5274935791
214	0.5271367091
215	0.526901911
216	0.5267055785
217	0.5265255461
218	0.5262977564
219	0.5261348142
220	0.5260263228
221	0.5257984596
222	0.5256175599
223	0.5254111713
224	0.5251997089
225	0.524950303
226	0.5246907347
227	0.5244768759
228	0.5243233852
229	0.5240895164
230	0.5239716149
231	0.5237715017
232	0.5236191322
233	0.5234633687
234	0.523349914
235	0.5232095425
236	0.5229984384
237	0.5228240795
238	0.5226311308
239	0.52245842
240	0.5223126646
241	0.5221481734
242	0.5220402333
243	0.5218302771
244	0.5216592964
245	0.521413522
246	0.521295134
247	0.5211017834
248	0.5210326639
249	0.520880886
250	0.5206382478
251	0.5205009599
252	0.5202674514
253	0.520157348
254	0.5199482666
255	0.5197744925
256	0.5196263955
257	0.5194585818
258	0.5192945911
259	0.5191060718
260	0.5190062911
261	0.5188363614
262	0.5186567195
263	0.5184500536
264	0.518241702
265	0.5180902477
266	0.5178471779
267	0.5177352735
268	0.5176524447
269	0.517451016
270	0.5171410463
271	0.5169262094
272	0.5168108784
273	0.5167444624
274	0.5164440999
275	0.5162535214
276	0.5160702031
277	0.5159550046
278	0.5158066552
279	0.5156976789
280	0.5156393589
281	0.5154524408
282	0.5152804002
283	0.5150410388
284	0.5149070243
285	0.5148249366
286	0.5146767459
287	0.5145852862
288	0.5142933987
289	0.5141846335
290	0.5140668739
291	0.5138755203
292	0.5137506333
293	0.5136311262
294	0.5134218511
295	0.5133707842
296	0.5131998371
297	0.513042536
298	0.5128721835
299	0.5127428001
