iter	Passed	Remaining
0	10	3195
1	19	2975
2	29	2931
3	38	2834
4	48	2861
5	57	2841
6	67	2819
7	76	2793
8	85	2750
9	94	2740
10	103	2720
11	112	2706
12	121	2679
13	130	2662
14	139	2644
15	148	2629
16	161	2681
17	173	2715
18	183	2716
19	194	2718
20	203	2705
21	214	2705
22	224	2706
23	235	2703
24	246	2711
25	260	2746
26	272	2756
27	283	2753
28	294	2753
29	305	2752
30	316	2746
31	327	2744
32	339	2743
33	349	2731
34	359	2724
35	369	2712
36	379	2698
37	390	2694
38	401	2684
39	411	2672
40	422	2670
41	434	2668
42	445	2661
43	457	2660
44	467	2648
45	477	2634
46	486	2620
47	496	2608
48	507	2598
49	517	2589
50	527	2573
51	537	2563
52	547	2550
53	557	2539
54	567	2529
55	577	2516
56	588	2509
57	599	2503
58	610	2492
59	622	2489
60	632	2478
61	642	2465
62	652	2455
63	661	2441
64	671	2427
65	681	2415
66	690	2401
67	700	2390
68	710	2378
69	720	2367
70	730	2356
71	739	2341
72	749	2331
73	759	2320
74	769	2307
75	779	2297
76	789	2285
77	799	2274
78	808	2263
79	818	2250
80	828	2239
81	838	2230
82	849	2221
83	860	2211
84	870	2200
85	880	2190
86	890	2181
87	900	2169
88	912	2162
89	922	2152
90	932	2140
91	943	2132
92	954	2124
93	965	2115
94	976	2107
95	987	2098
96	999	2091
97	1011	2085
98	1023	2077
99	1033	2067
100	1044	2058
101	1057	2051
102	1068	2043
103	1081	2038
104	1095	2034
105	1108	2028
106	1120	2021
107	1133	2014
108	1148	2011
109	1160	2004
110	1173	1998
111	1186	1992
112	1204	1993
113	1224	1997
114	1243	2000
115	1265	2007
116	1284	2008
117	1301	2006
118	1314	1999
119	1325	1988
120	1335	1975
121	1346	1964
122	1356	1951
123	1364	1937
124	1374	1924
125	1384	1911
126	1394	1899
127	1403	1886
128	1413	1873
129	1422	1859
130	1430	1846
131	1439	1832
132	1448	1819
133	1458	1806
134	1467	1793
135	1476	1780
136	1486	1768
137	1495	1755
138	1505	1743
139	1513	1730
140	1523	1717
141	1532	1705
142	1543	1694
143	1554	1683
144	1563	1671
145	1573	1659
146	1581	1646
147	1590	1633
148	1599	1620
149	1608	1608
150	1617	1596
151	1627	1584
152	1636	1572
153	1644	1559
154	1654	1547
155	1662	1534
156	1672	1523
157	1681	1510
158	1690	1498
159	1699	1486
160	1707	1474
161	1716	1462
162	1725	1450
163	1735	1438
164	1744	1427
165	1754	1416
166	1764	1404
167	1773	1393
168	1783	1382
169	1792	1370
170	1801	1358
171	1809	1346
172	1820	1336
173	1831	1325
174	1841	1315
175	1852	1305
176	1863	1294
177	1872	1283
178	1884	1273
179	1894	1262
180	1904	1252
181	1915	1242
182	1927	1232
183	1937	1221
184	1947	1210
185	1957	1199
186	1966	1188
187	1975	1177
188	1985	1165
189	1994	1154
190	2003	1143
191	2012	1131
192	2021	1120
193	2030	1109
194	2039	1098
195	2049	1087
196	2058	1076
197	2067	1065
198	2076	1053
199	2085	1042
200	2094	1031
201	2103	1020
202	2112	1009
203	2121	998
204	2130	987
205	2139	976
206	2148	965
207	2157	954
208	2166	943
209	2176	932
210	2197	927
211	2214	919
212	2229	910
213	2241	900
214	2253	890
215	2265	881
216	2277	870
217	2287	860
218	2297	849
219	2308	839
220	2317	828
221	2327	817
222	2337	807
223	2346	796
224	2356	785
225	2365	774
226	2375	763
227	2384	752
228	2393	742
229	2409	733
230	2426	724
231	2443	716
232	2456	706
233	2470	696
234	2480	686
235	2490	675
236	2499	664
237	2509	653
238	2518	642
239	2528	632
240	2536	621
241	2545	610
242	2554	599
243	2564	588
244	2573	577
245	2582	566
246	2591	556
247	2600	545
248	2609	534
249	2617	523
250	2626	512
251	2635	502
252	2645	491
253	2654	480
254	2663	470
255	2673	459
256	2683	448
257	2693	438
258	2702	427
259	2712	417
260	2721	406
261	2730	395
262	2739	385
263	2748	374
264	2756	364
265	2765	353
266	2774	342
267	2782	332
268	2791	321
269	2801	311
270	2811	300
271	2820	290
272	2828	279
273	2837	269
274	2846	258
275	2855	248
276	2864	237
277	2873	227
278	2882	216
279	2891	206
280	2899	196
281	2908	185
282	2917	175
283	2925	164
284	2934	154
285	2942	144
286	2951	133
287	2959	123
288	2969	113
289	2977	102
290	2986	92
291	2995	82
292	3004	71
293	3013	61
294	3022	51
295	3031	40
296	3039	30
297	3048	20
298	3057	10
299	3067	0
